"ID";"mapa50";"map_cislo";"map_oznac"
1;"Benešov";244;"6-8/34"
2;"Praha";189;"6-0/33"
3;"Praha";217;"6-1/11"
4;"Praha";218;"6-1/12"
5;"Praha";245;"6-1/13"
6;"Praha";246;"6-1/14"
7;"Praha";271;"6-1/31"
8;"Praha";272;"6-1/32"
9;"Praha";298;"6-1/33"
10;"Praha";299;"6-1/34"
11;"Praha";324;"6-2/11"
12;"Praha";350;"6-2/13"
13;"Praha";375;"6-2/31"
14;"Praha";185;"7-0/33"
15;"Praha";186;"7-0/34"
16;"Praha";187;"7-0/43"
17;"Praha";188;"7-0/44"
18;"Praha";213;"7-1/11"
19;"Praha";214;"7-1/12"
20;"Praha";241;"7-1/13"
21;"Praha";242;"7-1/14"
22;"Praha";215;"7-1/21"
23;"Praha";216;"7-1/22"
24;"Praha";243;"7-1/23"
25;"Praha";244;"7-1/24"
26;"Praha";267;"7-1/31"
27;"Praha";268;"7-1/32"
28;"Praha";294;"7-1/33"
29;"Praha";295;"7-1/34"
30;"Praha";269;"7-1/41"
31;"Praha";270;"7-1/42"
32;"Praha";296;"7-1/43"
33;"Praha";297;"7-1/44"
34;"Praha";321;"7-2/12"
35;"Praha";347;"7-2/14"
36;"Praha";322;"7-2/21"
37;"Praha";323;"7-2/22"
38;"Praha";348;"7-2/23"
39;"Praha";349;"7-2/24"
40;"Praha";372;"7-2/32"
41;"Praha";373;"7-2/41"
42;"Praha";374;"7-2/42"
43;"Praha";398;"7-2/43"
44;"Praha";399;"7-2/44"
45;"Praha";212;"8-1/22"
46;"Praha";240;"8-1/24"
47;"Praha";266;"8-1/42"
